ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,Acceptance Criteria,State,Priority,Story Points
,Epic,"Épica 1: Migración e Integración de Nube Híbrida",,,,"Iniciativa global para conectar e integrar repositorios locales con Azure DevOps de manera segura.",,New,1,
,Feature,,"Feature 1.1: Agentes de Compilación Auto-Hospedados",,,"Habilitar y registrar agentes de ejecución en redes privadas internas sin abrir puertos de entrada.",,New,1,
,User Story,,,"User Story 1.1.1: Registro Automatizado de GitLab Runner en VM local",,"Como administrador de plataforma, quiero registrar el Runner de forma no interactiva para automatizar el aprovisionamiento de máquinas.","1. El script debe ejecutarse de forma no interactiva (unattended).<br>2. El Runner registrado debe figurar activo y verde en GitLab.<br>3. El token debe pasarse de forma segura.",New,2,5
,Task,,,,"Task 1.1.1.1: Descargar e instalar binarios del Runner","Descargar binarios oficiales de gitlab-runner y otorgar permisos de ejecución.",,To Do,2,
,Task,,,,"Task 1.1.1.2: Escribir script de registro desatendido","Crear script shell con parámetros --url y --registration-token.",,To Do,2,
,Task,,,,"Task 1.1.1.3: Validar comunicación SSL inicial","Verificar que el Runner pueda negociar el handshake TLS con la instancia local de GitLab.",,To Do,2,
,User Story,,,"User Story 1.1.2: Inyección de Certificado CA Corporativo",,"Como ingeniero de seguridad de red, quiero instalar los certificados raíz autofirmados de la organización en los Runners para establecer conexiones HTTPS seguras y evitar alertas de certificados no confiables.","1. Comunicación sin errores de tipo 'x509: certificate signed by unknown authority' en ejecuciones del Runner.<br>2. Los certificados de la CA interna deben ser configurados en el archivo config.toml.",New,1,3
,Task,,,,"Task 1.1.2.1: Copiar certificado CA en la ruta de certs","Colocar ca.crt en /etc/gitlab-runner/certs/ con el nombre de dominio de GitLab.",,To Do,2,
,Task,,,,"Task 1.1.2.2: Configurar la variable ca_file en config.toml","Modificar el archivo config.toml de gitlab-runner para especificar la ruta del archivo CA.",,To Do,2,
,Bug,,,,"Bug 1.1.3: Error de certificado x509 desconocido durante el registro","El agente reporta error de certificado firmado por autoridad desconocida al intentar iniciar la comunicación con GitLab.","El Runner debe poder registrarse correctamente sin usar el flag --non-secure o saltarse la verificación TLS.",New,1,
,Feature,,"Feature 1.2: Conectividad y Redes Híbridas Seguras",,,"Implementar configuraciones de red y proxy corporativo en los agentes de compilación para garantizar la comunicación saliente regulada.",,New,1,
,User Story,,,"User Story 1.2.1: Configuración de Proxy Corporativo en Agentes",,"Como administrador de infraestructura, quiero configurar las variables de entorno de proxy (HTTP_PROXY, HTTPS_PROXY, NO_PROXY) en el servicio de GitLab Runner para permitir descargas de dependencias externas a través del proxy corporativo sin comprometer la seguridad.","1. Las variables de proxy deben estar declaradas en la configuración del servicio del Runner.<br>2. El Runner debe poder descargar paquetes públicos a través del proxy.<br>3. El tráfico hacia servidores locales de GitLab debe omitir el proxy.",New,2,5
,Task,,,,"Task 1.2.1.1: Configurar variables en /etc/default/gitlab-runner","Agregar variables HTTP_PROXY, HTTPS_PROXY y NO_PROXY al archivo de configuración del servicio.",,To Do,2,
,Task,,,,"Task 1.2.1.2: Validar exclusión de proxy para GitLab local","Realizar pruebas de curl para validar que el tráfico interno hacia GitLab no pasa por el proxy corporativo.",,To Do,2,
,Epic,"Épica 2: Automatización de Pipelines y Ciclo de Vida CI/CD",,,,"Diseño de workflows y optimización de pipelines multi-etapa en YAML.",,New,1,
,Feature,,"Feature 2.1: Pipelines como Código y Calidad",,,"Flujos estructurados en YAML con compilación automática y ejecución de pruebas.",,New,1,
,User Story,,,"User Story 2.1.1: Pipeline Multietapa para Node.js",,"Como desarrollador de software, quiero un pipeline de CI automático que compile el código y ejecute pruebas unitarias ante cada commit para detectar errores de forma temprana en la rama principal.","1. Ejecución automática en commits a main y Pull Requests.<br>2. Publicación de reportes de pruebas en Azure Pipelines.",New,2,3
,Task,,,,"Task 2.1.1.1: Crear archivo azure-pipelines.yml","Crear el archivo en la raíz del repositorio y definir los stages de Build y Test.",,To Do,2,
,Task,,,,"Task 2.1.1.2: Configurar tareas NodeTool y comandos npm","Definir la versión de Node.js 18.x y comandos npm install y npm run test.",,To Do,2,
,User Story,,,"User Story 2.1.2: Gestión de Paquetes en Feeds Privados de Azure Artifacts",,"Como arquitecto de software, quiero publicar librerías comunes compiladas en un Feed privado para controlar versiones y consumirlas de manera segura dentro de la organización.","1. Publicación exitosa de paquetes NPM usando tokens de autenticación del pipeline.<br>2. Control de accesos restringido para que solo desarrolladores autenticados puedan consumir del feed.",New,2,5
,Task,,,,"Task 2.1.2.1: Crear feed coem-packages en Azure Artifacts","Configurar feed privado visible para la organización en la sección de Artifacts.",,To Do,2,
,Task,,,,"Task 2.1.2.2: Configurar archivo .npmrc en el repositorio","Crear el archivo .npmrc con el registro del feed de Azure Artifacts y la autenticación correspondiente.",,To Do,2,
,Feature,,"Feature 2.2: Aseguramiento de Calidad y Escaneo de Vulnerabilidades",,,"Integrar herramientas de análisis estático y escaneo de vulnerabilidades en dependencias como parte del pipeline de CI.",,New,1,
,User Story,,,"User Story 2.2.1: Integración de Escaneo de Seguridad de Dependencias (SCA)",,"Como oficial de seguridad, quiero integrar una herramienta de análisis de dependencias (como npm audit) en el pipeline de CI para bloquear compilaciones que incluyan librerías con vulnerabilidades críticas.","1. El pipeline debe fallar si se detectan vulnerabilidades de severidad 'Critical' o 'High' en dependencias directas.<br>2. Debe publicarse un reporte como artefacto de compilación.",New,2,3
,Task,,,,"Task 2.2.1.1: Agregar paso de npm audit en el pipeline","Añadir script en el pipeline YAML para ejecutar npm audit con umbral de fallo en vulnerabilidades altas.",,To Do,2,
,Epic,"Épica 3: Gobierno, Seguridad y Aislamiento de Entornos",,,,"Estándares de seguridad para despliegues a entornos productivos y control de accesos.",,New,1,
,Feature,,"Feature 3.1: Control de Accesos y Aprobaciones Manuales",,,"Gobernanza sobre recursos compartidos y compuertas de aprobación en producción.",,New,1,
,User Story,,,"User Story 3.1.1: Compuertas de Aprobación Manual para Despliegues a Producción",,"Como jefe de lanzamientos, quiero que los despliegues a Producción se pausen requiriendo autorización manual explícita para mitigar riesgos operativos.","1. Pausa obligatoria del stage de despliegue a producción.<br>2. Notificación automática por correo a los miembros del grupo Aprobadores-Produccion.<br>3. Comentario justificativo obligatorio al aprobar.",New,1,8
,Task,,,,"Task 3.1.1.1: Configurar Prod-Environment con aprobador","Definir el Environment Prod-Environment en Azure Pipelines y agregar check de aprobación manual.",,To Do,1,
,User Story,,,"User Story 3.1.2: Aislamiento de Permisos en Service Connections",,"Como oficial de seguridad, quiero limitar el uso de la Service Connection de Producción al grupo de Líderes Técnicos para evitar despliegues no autorizados desde ramas de desarrollo.","1. Desarrolladores externos con rol Reader sobre la conexión.<br>2. Solo pipelines oficiales corriendo en ramas protegidas (como main) pueden hacer uso de esta Service Connection.",New,1,5
,Task,,,,"Task 3.1.2.1: Configurar seguridad de la Service Connection","Establecer permisos de usuario y autorización de pipelines para la conexión en Project Settings.",,To Do,2,
,Bug,,,,"Bug 3.1.3: Fuga de credenciales en logs de ejecución del pipeline","El pipeline de desarrollo imprime variables de entorno secretas en texto plano en la consola web durante la etapa de despliegue.","1. Todos los secretos e inputs confidenciales deben aparecer enmascarados como *** en los logs de Azure Pipelines.",New,1,
,Task,,,,"Task 3.1.3.1: Enmascarar variables secretas en logs","Modificar la definición de variables en el pipeline para marcarlas como secretas o usar variables de grupo de variables vinculadas a Key Vault.",,To Do,2,
,Feature,,"Feature 3.2: Políticas de Rama y Cumplimiento Normativo",,,"Establecer políticas obligatorias para proteger ramas principales y forzar flujos de revisión.",,New,1,
,User Story,,,"User Story 3.2.1: Políticas de Rama (Branch Policies) en main",,"Como líder de desarrollo, quiero exigir que todas las integraciones a la rama main se realicen mediante Pull Requests con al menos una aprobación y compilación exitosa para mantener la estabilidad del código.","1. Bloqueo de empuje directo (push) a main.<br>2. Exigir revisión por pares.<br>3. Compilación de validación de CI obligatoria.",New,1,5
,Task,,,,"Task 3.2.1.1: Configurar Branch Policies para la rama main","Ir a Project Settings > Repositories > main > Policies y habilitar Require minimum number of reviewers y Build validation.",,To Do,2,
